latitude, longitude, altitude 
55.367505, 10.4303338, 95.10754429370502 
55.3675063, 10.4303339, 95.09854250890761 
55.3675075, 10.4303343, 95.07654033981345 
55.3675087, 10.4303346, 95.07253834022669 
55.3675099, 10.4303351, 95.10153600160442 
55.3675111, 10.4303354, 95.15653400200398 
55.3675123, 10.4303356, 95.1935321719113 
55.3675135, 10.4303358, 95.20153034181203 
55.3675146, 10.430336, 95.19352863596276 
55.3675159, 10.430336, 95.20152702062313 
55.3675169, 10.4303359, 95.21952594756391 
55.367518, 10.4303356, 95.25752508927192 
55.367519, 10.4303355, 95.26152401620371 
55.3675199, 10.4303355, 95.24452289787524 
55.3675209, 10.4303356, 95.2385214857689 
55.367522, 10.4303357, 95.25851994939825 
55.3675231, 10.4303355, 95.28951892156728 
55.3675242, 10.430335, 95.33051840227641 
55.3675251, 10.4303339, 95.32751914859315 
55.3675259, 10.4303331, 95.30251951062286 
55.3675269, 10.4303326, 95.28051911558131 
55.367528, 10.4303321, 95.28851859627332 
55.3675292, 10.4303316, 95.30851795269751 
55.3675303, 10.430331, 95.33551760289413 
55.3675316, 10.4303307, 95.35651649601297 
55.3675329, 10.4303303, 95.35551555863982 
55.3675343, 10.4303302, 95.36351398844914 
55.3675355, 10.43033, 95.38451283629634 
55.3675368, 10.4303299, 95.42251139035605 
55.3675381, 10.4303296, 95.47051028343904 
55.3675393, 10.4303293, 95.50650930078214 
55.3675406, 10.4303291, 95.51750802433602 
55.3675421, 10.4303285, 95.54050717740773 
55.3675434, 10.4303279, 95.56650657900798 
55.367545, 10.4303276, 95.61850509924639 
55.3675463, 10.4303271, 95.67650433131551 
55.3675477, 10.4303271, 95.7045025915292 
55.3675491, 10.4303271, 95.70650085173428 
55.3675506, 10.4303271, 95.72449898765869 
55.367552, 10.4303273, 95.75649690881426 
55.3675529, 10.4303264, 95.8234973160007 
55.3675538, 10.4303254, 95.88949789269944 
55.3675548, 10.4303245, 95.91949817560527 
55.3675557, 10.4303238, 95.92849824374966 
55.3675569, 10.4303228, 95.95049844761412 
55.3675581, 10.4303219, 95.97249848195696 
55.3675593, 10.4303208, 96.02449885532513 
55.3675604, 10.4303197, 96.06549935296329 
55.3675615, 10.4303191, 96.08049900301843 
55.3675627, 10.4303186, 96.08149835927604 
55.3675638, 10.4303183, 96.11349750077383 
55.3675649, 10.4303181, 96.15449647275082 
55.3675659, 10.4303177, 96.2224959080325 
55.3675669, 10.4303171, 96.27249568234143 
55.3675681, 10.4303165, 96.2914952080879 
55.3675691, 10.430316, 96.28949481287209 
55.3675702, 10.4303155, 96.30949429337204 
55.3675713, 10.430315, 96.34649377386702 
55.3675726, 10.4303144, 96.39949317531065 
55.3675737, 10.4303136, 96.43349316434202 
55.3675753, 10.4303137, 96.44749100631557 
55.3675768, 10.4303137, 96.44948914207653 
55.3675783, 10.4303139, 96.48348693879558 
55.3675797, 10.4303139, 96.53948519882086 
55.3675811, 10.4303141, 96.58548311980516 
55.3675824, 10.4303139, 96.60548184313087 
55.3675839, 10.4303141, 96.58747963981226 
55.3675854, 10.4303143, 96.5654774364834 
55.367587, 10.4303144, 96.56747527837337 
55.3675887, 10.4303142, 96.59647350451331 
55.3675901, 10.4303144, 96.61247142544102 
55.3675913, 10.4303144, 96.602469933972 
55.3675926, 10.4303148, 96.56146764013974 
55.3675939, 10.430315, 96.53246568533311 
55.3675952, 10.4303152, 96.52146373051879 
55.3675965, 10.4303154, 96.53646177569672 
55.3675978, 10.4303156, 96.56345982086695 
55.3675992, 10.4303156, 96.57445808077087 
55.3676005, 10.430316, 96.54745578689077 
55.3676019, 10.4303162, 96.52445370774316 
55.3676034, 10.4303168, 96.52845082622221 
55.3676048, 10.430317, 96.5594487470558 
55.3676063, 10.4303173, 96.57444637406677 
55.3676076, 10.4303176, 96.56844424966081 
55.3676092, 10.4303183, 96.53744107428372 
55.3676106, 10.4303189, 96.52543831700808 
55.3676121, 10.43032, 96.52543458783359 
55.3676135, 10.4303208, 96.56143149150088 
55.3676151, 10.4303216, 96.59642814655768 
55.3676166, 10.4303223, 96.60742509542092 
55.3676184, 10.4303239, 96.58842014569998 
55.3676203, 10.4303254, 96.58641524117634 
55.3676225, 10.4303274, 96.59740911612573 
55.3676248, 10.430329, 96.64140354481935 
55.3676272, 10.4303313, 96.65839666254068 
55.3676292, 10.4303333, 96.65239078601523 
55.3676317, 10.4303362, 96.62638276224283 
55.3676339, 10.4303387, 96.62337578943992 
55.3676365, 10.4303425, 96.66836611559137 
55.3676387, 10.4303452, 96.73335880367475 
55.3676412, 10.4303485, 96.76135010165689 
55.3676434, 10.4303514, 96.76034245062574 
55.3676462, 10.4303553, 96.76033235844464 
55.3676485, 10.4303584, 96.78032424397347 
55.3676511, 10.430362, 96.82231490889515 
55.3676535, 10.4303648, 96.87830717859522 
55.3676561, 10.430368, 96.90629852152102 
55.3676584, 10.4303707, 96.90229108498748 
55.367661, 10.4303742, 96.89628191925384 
55.367663, 10.430377, 96.90927468609155 
55.3676655, 10.4303807, 96.95326530554709 
55.3676676, 10.4303835, 97.01925794799263 
55.3676702, 10.4303871, 97.04424861256155 
55.3676724, 10.4303901, 97.03324079155554 
55.3676751, 10.4303943, 97.02723031454353 
55.3676771, 10.4303971, 97.0372230811754 
55.3676795, 10.430401, 97.0862134856463 
55.3676816, 10.4304039, 97.13920595835128 
55.367684, 10.4304075, 97.16819687132295 
55.367686, 10.4304105, 97.16218929876598 
55.3676882, 10.4304144, 97.15117995174404 
55.3676903, 10.4304179, 97.15817140713652 
55.3676924, 10.4304219, 97.19016201484393 
55.3676943, 10.4304253, 97.24215388837298 
55.3676965, 10.4304293, 97.2591443716643 
55.3676983, 10.4304326, 97.24813653899928 
55.3677007, 10.4304373, 97.2461255868075 
55.3677026, 10.4304409, 97.26711712113544 
55.3677047, 10.430445, 97.3001075590791 
55.3677066, 10.4304484, 97.33409943240346 
55.3677087, 10.4304522, 97.33809037886988 
55.3677104, 10.4304555, 97.31408267035923 
55.3677123, 10.4304596, 97.30007335685363 
55.3677138, 10.430463, 97.3020657274522 
55.3677155, 10.430467, 97.32805683211805 
55.3677169, 10.4304703, 97.37204949655235 
55.3677187, 10.430474, 97.39804098541296 
55.3677203, 10.4304772, 97.39103357062766 
55.367722, 10.4304811, 97.37402484471278 
55.3677234, 10.4304843, 97.36301767858748 
55.3677249, 10.430488, 97.37900954040244 
55.3677262, 10.4304908, 97.41200317673758 
55.3677275, 10.430494, 97.41599613490737 
55.3677285, 10.4304968, 97.39399014428295 
55.3677296, 10.4305005, 97.36598250344726 
55.3677304, 10.4305036, 97.3539762528989 
55.3677313, 10.4305072, 97.37696903028632 
55.3677322, 10.4305103, 97.40596265535012 
55.3677333, 10.4305136, 97.40095569259987 
55.3677342, 10.4305167, 97.37694931763465 
55.3677353, 10.4305202, 97.37094201577281 
55.3677362, 10.4305237, 97.3709349626188 
55.3677371, 10.4305263, 97.37992943530969 
55.3677379, 10.4305289, 97.3969240323537 
55.3677388, 10.4305318, 97.36591799640134 
55.3677394, 10.4305346, 97.31791250307259 
55.3677401, 10.4305378, 97.29990620720471 
55.3677407, 10.430541, 97.3109000356906 
55.3677412, 10.4305439, 97.33189449715636 
55.3677418, 10.4305469, 97.34988866470457 
55.3677425, 10.4305504, 97.33188186016446 
55.3677431, 10.4305533, 97.30387619723288 
55.3677439, 10.4305565, 97.28886977692731 
55.3677447, 10.4305595, 97.28586369569464 
55.3677455, 10.4305625, 97.29385761444985 
55.3677461, 10.4305652, 97.2878522905626 
55.3677465, 10.4305683, 97.24184653723113 
55.3677468, 10.4305713, 97.19984107780438 
55.3677473, 10.4305748, 97.18483452190722 
55.3677476, 10.4305778, 97.20182906246228 
55.3677482, 10.4305811, 97.20382272126142 
55.3677486, 10.4305842, 97.17881696788191 
55.3677492, 10.4305877, 97.1328102875679 
55.3677498, 10.4305912, 97.08980360724081 
55.3677506, 10.4305941, 97.07879769543098 
55.3677513, 10.4305971, 97.08479173843668 
55.367752, 10.4305999, 97.06778612052423 
55.3677525, 10.4306026, 97.02778092089659 
55.367753, 10.4306053, 96.98177572126093 
55.3677534, 10.430608, 96.95177064599199 
55.3677539, 10.4306109, 96.94476510724579 
55.3677545, 10.430614, 96.95775910501976 
55.367755, 10.4306168, 96.94575373580261 
55.3677556, 10.4306194, 96.91574858129715 
55.3677562, 10.4306221, 96.892743257235 
55.3677568, 10.4306249, 96.87673776361541 
55.3677575, 10.4306277, 96.88073214560913 
55.367758, 10.4306303, 96.89772711544671 
55.3677585, 10.4306327, 70.13972242437545 
55.3677588, 10.4306353, 70.05271764295514 
55.3677591, 10.4306378, 69.98171303107827 
55.3677593, 10.4306404, 69.93370837402435 
55.3677597, 10.4306431, 69.9317032986561 
55.3677601, 10.4306458, 69.94669822328049 
55.3677605, 10.4306486, 69.93269297834686 
55.3677608, 10.4306514, 69.89968785778547 
55.3677613, 10.4306542, 69.8716824884561 
55.3677619, 10.4306574, 69.86267631653189 
55.3677624, 10.43066, 69.88167128628754 
55.3677629, 10.4306623, 69.90166676469109 
55.3677634, 10.4306648, 69.8866619039843 
55.3677637, 10.4306673, 69.85365729203458 
55.3677639, 10.4306699, 69.82365263490873 
55.3677642, 10.4306726, 69.81564768384177 
55.3677645, 10.4306748, 69.8356435805325 
55.3677649, 10.4306774, 69.86463867462311 
55.3677653, 10.4306799, 69.84063393826011 
55.3677656, 10.4306825, 69.80962915672072 
55.3677659, 10.4306852, 69.7866242056212 
