Timestamp, RSSI, REM_RSSI, noise, REM_noise, rxerrors 
1762512565.2716162, -39.105262756347656, -43.31578826904297, 55, 41, 0 
1762512566.3376286, -36.47368240356445, -38.05263137817383, 59, 31, 0 
1762512567.3057013, -40.68421173095703, -41.21052551269531, 56, 40, 0 
1762512568.3190782, -40.157894134521484, -41.21052551269531, 56, 40, 0 
1762512569.2987814, -37.0, -41.73684310913086, 66, 30, 0 
1762512570.359786, -40.157894134521484, -43.842105865478516, 55, 37, 0 
1762512571.262797, -42.26315689086914, -45.421051025390625, 71, 34, 0 
1762512572.295681, -40.157894134521484, -43.842105865478516, 59, 35, 0 
1762512573.2877567, -38.05263137817383, -48.578948974609375, 58, 34, 0 
1762512574.3091497, -43.31578826904297, -47.0, 60, 35, 0 
1762512575.2608297, -44.3684196472168, -47.0, 61, 35, 0 
1762512576.294759, -41.21052551269531, -44.894737243652344, 64, 45, 0 
1762512577.3258681, -40.157894134521484, -44.3684196472168, 73, 37, 0 
1762512578.2798848, -47.52631759643555, -44.3684196472168, 60, 37, 0 
1762512579.304892, -50.157894134521484, -51.73684310913086, 68, 40, 0 
1762512580.265897, -47.52631759643555, -60.157894134521484, 62, 38, 0 
1762512582.2894297, -42.78947448730469, -45.421051025390625, 52, 38, 0 
1762512583.264003, -43.31578826904297, -46.47368240356445, 64, 35, 0 
1762512584.2782943, -50.68421173095703, -46.47368240356445, 64, 35, 0 
1762512585.3373022, -51.73684310913086, -58.05263137817383, 63, 31, 0 
1762512586.271385, -52.26315689086914, -58.05263137817383, 58, 31, 0 
1762512587.3251123, -46.47368240356445, -50.157894134521484, 57, 46, 0 
1762512588.2740917, -44.894737243652344, -48.578948974609375, 64, 37, 0 
1762512589.2901921, -46.47368240356445, -50.157894134521484, 56, 36, 0 
1762512590.349167, -44.3684196472168, -48.05263137817383, 57, 35, 0 
1762512591.2591767, -45.94736862182617, -49.105262756347656, 60, 36, 0 
1762512592.2851105, -49.105262756347656, -51.21052551269531, 60, 35, 0 
1762512593.3252063, -55.421051025390625, -51.21052551269531, 66, 35, 0 
1762512594.302182, -52.26315689086914, -57.0, 63, 36, 0 
1762512595.3615935, -65.9473648071289, -58.05263137817383, 52, 33, 0 
1762512596.2672637, -54.3684196472168, -57.52631759643555, 51, 36, 0 
1762512597.3287365, -56.47368240356445, -62.26315689086914, 52, 36, 0 
1762512598.2822988, -51.21052551269531, -55.421051025390625, 57, 30, 0 
1762512599.2932398, -50.157894134521484, -54.3684196472168, 54, 39, 0 
1762512600.3542924, -48.578948974609375, -51.73684310913086, 61, 42, 0 
1762512601.264315, -47.0, -51.21052551269531, 52, 50, 0 
1762512602.3216307, -47.52631759643555, -50.68421173095703, 66, 38, 0 
1762512603.3332636, -48.578948974609375, -52.26315689086914, 60, 37, 0 
1762512604.2877293, -48.578948974609375, -52.26315689086914, 57, 37, 0 
1762512605.2793183, -49.105262756347656, -52.78947448730469, 58, 33, 0 
1762512606.2917092, -48.05263137817383, -53.31578826904297, 58, 31, 0 
1762512607.3106847, -50.157894134521484, -52.78947448730469, 55, 34, 0 
1762512608.2643836, -53.31578826904297, -56.47368240356445, 74, 31, 0 
1762512609.281457, -54.894737243652344, -57.0, 59, 40, 0 
1762512610.340753, -56.47368240356445, -59.105262756347656, 63, 32, 0 
1762512611.2933426, -57.52631759643555, -60.157894134521484, 61, 40, 0 
1762512612.3045182, -57.52631759643555, -61.21052551269531, 53, 36, 0 
1762512613.3107734, -55.94736862182617, -61.21052551269531, 51, 36, 0 
1762512614.2934303, -62.26315689086914, -65.42105102539062, 52, 31, 0 
1762512615.3225403, -67.0, -68.57894897460938, 61, 37, 0 
1762512616.2578275, -67.0, -68.57894897460938, 52, 37, 0 
1762512617.359591, -63.31578826904297, -70.68421173095703, 65, 47, 0 
1762512618.2645788, -57.52631759643555, -62.26315689086914, 54, 44, 0 
1762512619.3256502, -55.94736862182617, -60.157894134521484, 50, 45, 0 
1762512620.2956355, -57.0, -61.21052551269531, 58, 39, 0 
1762512621.326985, -55.94736862182617, -61.21052551269531, 56, 39, 0 
1762512622.2627006, -58.05263137817383, -62.26315689086914, 55, 47, 0 
1762512623.3067079, -57.52631759643555, -62.26315689086914, 62, 47, 0 
1762512624.3567517, -53.842105865478516, -59.105262756347656, 60, 41, 0 
1762512625.264773, -54.894737243652344, -57.52631759643555, 56, 35, 0 
1762512626.3238242, -55.94736862182617, -59.6315803527832, 65, 36, 0 
1762512627.2591362, -61.21052551269531, -59.6315803527832, 48, 36, 0 
1762512628.3078697, -55.421051025390625, -58.578948974609375, 51, 39, 0 
1762512629.2782598, -60.157894134521484, -61.21052551269531, 55, 33, 0 
1762512630.274969, -59.105262756347656, -63.842105865478516, 61, 38, 0 
1762512631.3359902, -56.47368240356445, -61.73684310913086, 56, 45, 0 
1762512632.2939517, -59.6315803527832, -62.26315689086914, 62, 45, 0 
1762512633.2970285, -61.21052551269531, -65.42105102539062, 61, 40, 0 
1762512634.2673223, -59.105262756347656, -63.31578826904297, 53, 39, 0 
1762512635.2671375, -58.578948974609375, -61.73684310913086, 61, 37, 0 
1762512636.2921002, -59.105262756347656, -62.26315689086914, 68, 44, 0 
1762512637.3040926, -60.157894134521484, -62.26315689086914, 59, 36, 0 
1762512638.3094132, -58.578948974609375, -63.31578826904297, 57, 35, 0 
1762512639.2661922, -57.0, -63.31578826904297, 62, 35, 0 
1762512640.2841685, -55.94736862182617, -61.21052551269531, 64, 42, 0 
1762512641.3451993, -63.31578826904297, -63.842105865478516, 58, 40, 0 
1762512642.3872075, -61.21052551269531, -69.63157653808594, 53, 39, 0 
1762512643.3094904, -62.26315689086914, -67.0, 62, 38, 0 
1762512644.2795525, -68.0526351928711, -66.47368621826172, 64, 35, 1 
1762512645.2765496, -64.36842346191406, -68.57894897460938, 61, 38, 1 
1762512646.3386915, -59.6315803527832, -64.36842346191406, 67, 37, 1 
1762512647.2873254, -59.105262756347656, -63.31578826904297, 60, 42, 1 
1762512648.3016448, -63.31578826904297, -69.63157653808594, 63, 35, 2 
1762512649.280292, -64.89473724365234, -75.42105102539062, 57, 42, 2 
1762512650.327676, -70.15789794921875, -78.0526351928711, 64, 37, 6 
1762512651.3374026, -66.47368621826172, -70.68421173095703, 60, 43, 6 
1762512652.3813498, -63.842105865478516, -73.31578826904297, 62, 31, 6 
1762512653.301362, -63.842105865478516, -68.0526351928711, 61, 40, 6 
1762512654.2807577, -61.21052551269531, -67.0, 59, 37, 6 
1762512655.2684686, -60.68421173095703, -65.9473648071289, 63, 37, 6 
1762512656.3305192, -61.21052551269531, -65.42105102539062, 66, 35, 6 
1762512657.3488119, -66.47368621826172, -68.57894897460938, 62, 45, 6 
1762512658.2944894, -71.21052551269531, -72.78947448730469, 60, 35, 9 
1762512659.2975044, -77.0, -72.78947448730469, 73, 35, 9 
1762512660.2685966, -69.63157653808594, -75.42105102539062, 51, 41, 10 
1762512661.258893, -69.63157653808594, -79.10526275634766, 55, 42, 13 
1762512662.270917, -70.68421173095703, -79.10526275634766, 61, 42, 13 
1762512663.3136873, -64.89473724365234, -71.21052551269531, 60, 43, 15 
1762512664.259714, -67.0, -71.21052551269531, 64, 43, 15 
1762512665.3227115, -62.78947448730469, -65.42105102539062, 70, 40, 15 
1762512666.2990947, -64.36842346191406, -68.57894897460938, 64, 32, 15 
1762512667.2827377, -64.36842346191406, -68.57894897460938, 66, 36, 17 
1762512668.3447409, -66.47368621826172, -68.0526351928711, 62, 30, 17 
1762512669.2809887, -71.7368392944336, -71.21052551269531, 68, 37, 18 
1762512670.3319657, -68.57894897460938, -72.78947448730469, 64, 45, 19 
1762512671.2798123, -68.57894897460938, -71.21052551269531, 65, 44, 20 
1762512672.2956824, -63.31578826904297, -67.0, 70, 39, 20 
1762512673.3571086, -65.9473648071289, -68.57894897460938, 59, 40, 20 
1762512674.262781, -64.89473724365234, -68.57894897460938, 60, 44, 20 
1762512675.3237774, -65.9473648071289, -67.0, 60, 44, 20 
1762512676.279069, -65.42105102539062, -67.0, 56, 39, 20 
1762512677.3077688, -66.47368621826172, -70.15789794921875, 60, 32, 20 
1762512678.265749, -68.57894897460938, -72.78947448730469, 57, 42, 20 
1762512679.3058722, -68.57894897460938, -72.78947448730469, 64, 42, 20 
1762512680.362853, -65.42105102539062, -69.10526275634766, 61, 38, 20 
1762512681.2690418, -67.52631378173828, -71.21052551269531, 66, 33, 21 
1762512682.3148918, -67.0, -70.68421173095703, 62, 41, 21 
1762512683.281957, -65.42105102539062, -69.10526275634766, 64, 36, 21 
1762512684.294805, -68.57894897460938, -70.68421173095703, 58, 40, 21 
1762512685.2608573, -68.0526351928711, -72.2631607055664, 60, 38, 21 
