Timestamp, RSSI, REM_RSSI, noise, REM_noise, rxerrors 
1762512190.38854, -74.89473724365234, -78.57894897460938, 70, 51, 28 
1762512191.405616, -77.0, -80.15789794921875, 71, 26, 28 
1762512192.41254, -82.2631607055664, -80.15789794921875, 70, 26, 29 
1762512193.4066775, -81.7368392944336, -80.15789794921875, 65, 26, 29 
1762512194.3957148, -79.10526275634766, -81.7368392944336, 72, 31, 29 
1762512195.398731, -80.68421173095703, -81.7368392944336, 71, 31, 31 
1762512196.4167545, -80.68421173095703, -81.7368392944336, 67, 31, 31 
1762512197.3930724, -80.15789794921875, -81.21052551269531, 71, 35, 31 
1762512198.3998544, -80.15789794921875, -81.21052551269531, 75, 35, 31 
1762512199.4068623, -82.78947448730469, -81.21052551269531, 71, 35, 31 
1762512200.4138646, -83.31578826904297, -81.21052551269531, 71, 35, 31 
1762512201.4209194, -82.2631607055664, -127.0, 72, 0, 31 
1762512202.3824306, -77.52631378173828, -83.84210205078125, 80, 31, 32 
1762512203.385908, -74.36842346191406, -79.10526275634766, 65, 27, 34 
1762512204.3830695, -72.2631607055664, -73.31578826904297, 68, 32, 34 
1762512205.4451146, -74.36842346191406, -76.47368621826172, 71, 29, 34 
1762512206.4024274, -75.42105102539062, -77.52631378173828, 77, 30, 35 
1762512207.410201, -79.10526275634766, -80.68421173095703, 64, 27, 36 
1762512208.4162068, -78.57894897460938, -80.68421173095703, 68, 27, 36 
1762512209.4012964, -78.57894897460938, -81.7368392944336, 68, 33, 38 
1762512210.379353, -75.9473648071289, -81.7368392944336, 67, 33, 38 
1762512211.3754725, -78.57894897460938, -77.52631378173828, 70, 32, 38 
1762512212.3864279, -74.36842346191406, -77.52631378173828, 69, 32, 38 
1762512213.4007509, -75.9473648071289, -77.0, 61, 36, 40 
1762512214.3894885, -78.0526351928711, -77.0, 65, 36, 40 
1762512215.4395423, -74.36842346191406, -78.57894897460938, 68, 36, 41 
1762512216.3796103, -77.52631378173828, -78.57894897460938, 70, 36, 43 
1762512217.4010131, -79.10526275634766, -78.57894897460938, 69, 36, 44 
1762512218.4036558, -80.68421173095703, -78.57894897460938, 65, 36, 44 
1762512219.4106672, -81.7368392944336, -78.57894897460938, 68, 36, 44 
1762512220.377698, -78.57894897460938, -85.42105102539062, 64, 39, 46 
1762512221.394003, -81.21052551269531, -85.42105102539062, 67, 31, 48 
1762512222.41167, -81.7368392944336, -85.42105102539062, 71, 31, 48 
1762512223.3798046, -77.52631378173828, -82.78947448730469, 70, 26, 48 
1762512224.4297996, -79.10526275634766, -81.21052551269531, 67, 39, 51 
1762512225.440856, -80.68421173095703, -81.21052551269531, 66, 39, 51 
1762512226.375981, -81.7368392944336, -81.21052551269531, 75, 39, 51 
1762512227.3799186, -81.7368392944336, -81.21052551269531, 69, 39, 53 
1762512228.3940415, -80.68421173095703, -81.21052551269531, 70, 39, 54 
1762512229.4053237, -81.7368392944336, -81.21052551269531, 71, 39, 55 
1762512230.4290602, -80.15789794921875, -89.10526275634766, 65, 32, 57 
1762512231.4401047, -80.68421173095703, -89.10526275634766, 65, 32, 58 
1762512232.4471262, -82.78947448730469, -89.10526275634766, 68, 32, 58 
1762512233.3944998, -79.10526275634766, -83.84210205078125, 68, 39, 58 
1762512234.4045153, -80.15789794921875, -83.84210205078125, 62, 39, 58 
1762512235.4021237, -80.68421173095703, -87.0, 71, 33, 58 
1762512236.3992295, -80.68421173095703, -82.78947448730469, 74, 30, 62 
1762512237.4052851, -82.2631607055664, -82.78947448730469, 68, 30, 62 
1762512238.4122202, -84.89473724365234, -82.78947448730469, 67, 30, 62 
1762512239.41926, -85.9473648071289, -127.0, 65, 0, 62 
1762512240.4262624, -87.52631378173828, -127.0, 65, 0, 62 
1762512241.4394588, -88.0526351928711, -127.0, 73, 0, 62 
1762512242.377468, -85.42105102539062, -127.0, 80, 0, 62 
1762512243.3785071, -85.42105102539062, -127.0, 81, 0, 62 
1762512244.3855302, -83.31578826904297, -127.0, 76, 0, 64 
1762512245.3928142, -82.2631607055664, -127.0, 70, 0, 64 
1762512246.4275832, -80.68421173095703, -84.36842346191406, 66, 31, 66 
1762512247.380893, -78.57894897460938, -83.84210205078125, 80, 31, 66 
1762512248.393011, -79.63157653808594, -83.84210205078125, 64, 31, 67 
1762512249.3857164, -81.7368392944336, -83.84210205078125, 63, 31, 69 
1762512250.4276533, -84.36842346191406, -83.84210205078125, 70, 31, 69 
1762512251.4449701, -82.78947448730469, -85.9473648071289, 78, 32, 69 
1762512252.3849854, -81.21052551269531, -85.9473648071289, 74, 32, 69 
1762512253.3917253, -82.2631607055664, -85.9473648071289, 81, 32, 69 
1762512254.3987637, -83.84210205078125, -85.9473648071289, 81, 32, 69 
1762512255.4021657, -87.52631378173828, -85.9473648071289, 70, 32, 69 
1762512256.4159117, -84.89473724365234, -92.2631607055664, 66, 31, 70 
1762512257.4369047, -83.84210205078125, -92.2631607055664, 71, 31, 71 
1762512258.4098976, -83.84210205078125, -92.2631607055664, 74, 31, 71 
1762512259.412859, -84.36842346191406, -92.2631607055664, 71, 31, 73 
1762512260.4909554, -82.2631607055664, -90.15789794921875, 65, 44, 74 
1762512261.3970113, -82.78947448730469, -90.15789794921875, 62, 44, 74 
1762512262.404048, -84.36842346191406, -84.89473724365234, 64, 29, 75 
1762512263.4100525, -84.36842346191406, -84.89473724365234, 61, 29, 76 
1762512264.4200768, -85.9473648071289, -84.89473724365234, 66, 29, 79 
1762512265.4231577, -84.36842346191406, -127.0, 63, 0, 79 
1762512266.4435558, -82.78947448730469, -127.0, 70, 0, 80 
1762512267.378225, -83.31578826904297, -127.0, 64, 0, 80 
1762512268.3853786, -84.36842346191406, -127.0, 52, 0, 82 
1762512269.389353, -86.47368621826172, -127.0, 62, 0, 82 
1762512270.3964887, -87.52631378173828, -127.0, 61, 0, 82 
